"Gene","uniprot_id","N_seq","Old_OP_S06_Pre","Old_OP_S11_Pre","Old_OP_S12_Pre","Old_OP_S17_Pre","Old_O_S05_Pre","Old_O_S06_Pre","Old_O_S07_Pre","Old_O_S10_Pre","Old_O_S16_Pre","Old_O_S17_Pre","Old_O_S24_Post","Old_O_S24_Pre","Old_O_S28_Pre","Old_O_S29_Pre","Old_O_S32_Pre","Old_O_S35_Pre","Old_OP_S06_Post","Old_OP_S11_Post","Old_OP_S12_Post","Old_OP_S17_Post","Old_O_S05_Post","Old_O_S06_Post","Old_O_S07_Post","Old_O_S10_Post","Old_O_S16_Post","Old_O_S17_Post","Old_O_S28_Post","Old_O_S29_Post","Old_O_S32_Post","Old_O_S35_Post","Young_YP_S14_Pre","Young_YP_S45_Pre","Young_YP_S56_Pre","Young_Y_S01_Pre","Young_Y_S05_Pre","Young_Y_S07_Pre","Young_Y_S10_Pre","Young_Y_S11_Pre","Young_Y_S16_Pre","Young_Y_S28_Pre","Young_Y_S30_Pre","Young_Y_S31_Pre","Young_Y_S32_Pre","Young_Y_S34_Pre","Young_Y_S35_Pre","Young_Y_S36_Pre","Young_Y_S40_Pre","Young_YP_S14_Post","Young_YP_S45_Post","Young_YP_S56_Post","Young_Y_S01_Post","Young_Y_S05_Post","Young_Y_S07_Post","Young_Y_S10_Post","Young_Y_S11_Post","Young_Y_S16_Post","Young_Y_S28_Post","Young_Y_S30_Post","Young_Y_S31_Post","Young_Y_S32_Post","Young_Y_S34_Post","Young_Y_S35_Post","Young_Y_S36_Post","Young_Y_S40_Post","Contaminant"
"CARS1","P49589","6",196587,250048,277122,273222,353813,267438,220299,NA,NA,342126,207123,225057,292651,238768,NA,246123,291357,266165,343198,231943,265784,NA,NA,245770,NA,245537,295308,NA,NA,425720,224308,NA,230743,NA,NA,NA,NA,183050,236959,NA,375488,218303,241614,NA,284924,402234,240470,196899,NA,263273,314528,NA,383272,213864,NA,NA,NA,336986,291883,285175,243392,313049,413837,266924,"-"
"CARS2","Q9HA77","2",48726.4,112571,NA,99137.1,NA,95230.1,NA,NA,42220.6,NA,107968,41614.5,53527.1,59713.2,139578,52341.9,77802,48107.7,NA,NA,NA,86665.6,NA,NA,NA,46197,47720.2,NA,60106.4,82456.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61784.8,68635.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45265.4,NA,NA,"-"
"CASP2","P42575","1",NA,NA,NA,703735,NA,630170,NA,NA,NA,511623,NA,NA,711883,NA,NA,NA,886496,NA,NA,507558,NA,NA,669401,NA,738693,NA,NA,799044,NA,641781,NA,697030,699049,713757,NA,NA,NA,NA,NA,NA,535115,785805,NA,NA,NA,NA,604002,NA,NA,641540,NA,NA,NA,NA,NA,673257,NA,737203,616007,615001,714963,NA,712190,560614,"-"
"CASP3","P42574","2",NA,NA,70203.8,71597.5,NA,NA,NA,NA,62386,69272.3,NA,89301,NA,NA,86870.8,80341.9,61934.7,NA,NA,NA,NA,172442,NA,NA,50519.4,NA,88819.4,75191.5,NA,162601,NA,NA,103607,NA,NA,NA,NA,NA,94156,143561,NA,NA,60837.7,NA,NA,NA,NA,99620,NA,202940,NA,NA,NA,NA,NA,NA,NA,120297,151733,152365,NA,NA,116575,49442,"-"
"CASQ1","P31415","9",515248000,571806000,295283000,572962000,598119000,428830000,509041000,495258000,421662000,529077000,592982000,237386000,841688000,449768000,622304000,422168000,515982000,497436000,665732000,575034000,426881000,360340000,512500000,465435000,551509000,440799000,742593000,929668000,606143000,582088000,713535000,973126000,587490000,621449000,390395000,521303000,381135000,316632000,535917000,713165000,856910000,972077000,612208000,650655000,870664000,722951000,839316000,569970000,881184000,540395000,605130000,142587000,383369000,186652000,843733000,577570000,732249000,623585000,805346000,612461000,808461000,638245000,703216000,709678000,"-"
"CASQ2","O14958","13",41152600,101820000,33150400,64528700,84272500,70383400,44642100,47102600,72840200,66721100,61849100,30542800,31711800,86869000,54772300,77866800,27929400,98149500,43677200,80517900,55952100,86903500,41324100,75066900,103075000,51270300,22921000,43119900,40993500,56078700,74049200,21554400,55420700,56463500,59728400,88715700,59578700,43411900,44942200,60901000,94109100,63844900,59639000,44365800,38414700,33861500,43140200,69042800,24398700,40234500,55788000,57242100,68001600,52019800,34700500,48788400,57115600,84678600,78022900,62919000,52576100,81104500,31530900,65006700,"-"
"CAST","P20810","13",2481710,1909760,2783820,2315690,2414780,2352620,2101370,4123970,2805560,3523430,3172640,2725540,3551190,1987200,2212520,2156860,2225840,2344560,3485700,3147600,2632790,3120030,1912390,3595570,2830110,3585770,3140070,2287850,3228820,4702670,2083270,3691440,2530510,4101040,2378670,4465540,2741300,4232980,4299160,4839460,4835940,4165390,6180090,2685230,2715460,2953480,2501900,2214230,3516480,2499640,4475120,3473610,8820360,4948830,3906050,3766180,4401500,4459070,5896550,5391390,3947640,3586980,2964400,4856950,"-"
"CAT","P04040","23",7921590,3511900,4129010,6570480,10463400,8007840,5335440,6377650,5997520,8373870,5229790,5178900,5147730,9082820,4690450,5959040,4468780,2927540,4304870,12346200,4934320,4752760,5046640,6424250,5158160,6686510,5785970,19094200,5178200,7412570,10064300,3224870,4978960,9143690,4943880,5850960,5519830,8566130,4652720,5205690,3304860,6660610,7286880,6529980,5703010,6162020,4098640,5831380,2389180,7050510,5865650,14555700,11199000,8290850,7161630,6101200,5670090,3986380,3883670,5832700,8320900,3302480,10785000,2561000,"-"
"CAV1","Q03135","7",5285530,4485680,4670290,7341230,4194100,6116650,3615150,5953070,5814190,4330950,3019490,5223750,6645670,3947620,5257130,7064490,3059490,9765630,4335620,6780380,4502420,5726070,4825200,4757420,5356070,5292000,6768930,4938580,6261000,4297030,6532700,7167380,4750950,5951440,7655960,3628140,3781400,6198390,5423350,5070920,4865000,5773310,5956670,5420960,6156190,5272690,4933210,3383950,4286290,3417890,4436260,2699250,3277610,3162790,6270080,5496560,6028540,4252640,3399860,4323740,5122000,5044450,5108470,4099460,"-"
"CAV2","P51636","2",39637.9,66617.1,61307.7,NA,NA,40107.4,NA,68293.4,85561.6,75484.4,NA,29493.5,107345,NA,69182.5,NA,NA,191722,84403.4,NA,80159.9,61329.4,NA,38540.8,88236.1,69545.4,131295,NA,83051.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,53367.1,NA,NA,NA,NA,NA,74097.2,NA,78977.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34098.7,NA,NA,"-"
"CAV3","P56539","1",NA,3917450,5166680,NA,NA,NA,9912050,NA,NA,NA,5695800,4251480,NA,5955100,NA,3919980,NA,NA,NA,NA,NA,7868990,NA,NA,NA,NA,NA,NA,4534560,NA,NA,NA,NA,NA,NA,5871340,5109340,8477620,NA,NA,2681360,NA,NA,NA,NA,NA,NA,4116730,NA,NA,NA,NA,9283550,8986210,NA,NA,9468450,NA,NA,NA,NA,NA,NA,6882470,"-"
"CAVIN1","Q6NZI2","13",19674900,20402000,16015200,29879500,25543000,24178500,16202100,19038700,20272300,24106700,17780900,15436500,25972900,18594600,21215800,16577600,15662200,26243600,16083900,24841200,17502100,22878100,14928600,17635900,20512200,18202900,21085400,28845700,21747300,18769200,20944600,23207800,24329500,19470900,11886300,15632500,16677000,19595000,17088200,20268300,20196700,22632700,20403800,17472300,22015300,16909100,23761300,23662100,19275500,24655200,24481000,15309600,17307100,17699400,22336800,17096500,24233400,20692900,22528400,20544500,20039400,19592600,20073700,27374600,"-"
"CAVIN2","O95810","10",895092,1132180,645956,1395420,771118,1384410,690997,945077,1101630,990981,605669,702568,1367900,1247740,873275,943784,582367,1168710,696028,1421380,815491,721287,724616,900690,950697,892416,1160760,949486,955696,820882,1212490,887671,1240990,1152290,863473,630445,654228,940099,777242,884394,776763,988182,977993,803072,893196,738412,1147020,1220390,865193,989739,1015660,697186,876360,710322,917120,674565,1249440,733657,682082,992761,823898,572408,686308,771784,"-"
"CAVIN3","Q969G5","2",NA,69819.4,82100.2,167918,147747,161446,NA,NA,125653,NA,105408,NA,NA,103871,74906.7,86238.9,69300.9,175974,NA,NA,NA,161108,NA,NA,137431,74345.5,94022.8,NA,170811,NA,NA,NA,148095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,238521,NA,169717,165326,NA,NA,NA,NA,NA,NA,151390,NA,113686,NA,NA,NA,252646,"-"
"CAVIN4","Q5BKX8","4",8844360,6288840,3467310,7016030,9670390,6713740,6050070,7448200,5880680,8421620,8458180,5368010,9689700,5827760,8964820,4881400,8332670,5911170,4591900,6490690,5786700,10947800,4409320,6559280,6477710,6338720,7233850,12292800,5731980,6112050,7335560,8652340,7420610,7963540,8295310,9506360,6085040,11055000,6462020,6997780,6449650,5930480,7074610,4069960,7137060,7153440,7105480,6734790,7227600,8537130,6747570,NA,10045600,7478970,4897870,6566930,8322210,7416990,8341060,6593240,5096950,7566300,6309200,11044200,"-"
"CBR1","P16152","15",7972350,5383010,5085770,8386720,8245740,6759760,4670640,5693360,5993940,5767900,5586220,7508010,5198250,5458640,7215780,6762320,6390310,9361520,5837280,9228580,8697140,14818800,5623080,8149210,7241470,6836240,5104460,5032980,7810550,10151200,6096010,5206630,6383470,6562720,5456070,10653000,6049700,15955700,7814690,7413750,9365200,9050220,8841740,7519000,8300710,9026640,6003850,8878610,7630940,12962000,10641300,10494200,19263900,11409100,11754600,9551050,6493680,10568600,11069200,10151800,10104900,11320100,11632600,7726480,"-"
"CBR3","O75828","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,141917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-"
"CBR4","Q8N4T8","6",977825,2475640,2403060,2939040,1813150,2485290,864680,NA,2492670,2424550,1928880,1774190,753074,2788770,2681790,3874680,1563040,3655610,3152680,2105580,2313220,2338360,1448790,978126,3021170,3404750,1486660,1382390,1304530,1688000,1560190,874994,1978630,1718300,1361950,1289230,1595210,1455370,800229,1455510,1476470,1337080,861932,1608340,952601,1196660,1453360,2271920,822600,1602740,1376760,1258570,1492490,1416320,1121040,1199660,1598000,1938380,1140730,1932260,1219320,1242020,874494,1383710,"-"
"CBX3","Q13185","1",56501.7,NA,80471.7,66890.1,34157.3,79189.9,64479.4,70994.9,76529.4,99381.2,39910.5,61505.2,NA,71297.7,49305.1,NA,71107.1,NA,67746.7,50155.6,72980.8,104775,61111.5,49144,95842.6,103090,48639.2,113977,65113.6,74603.6,NA,NA,NA,NA,NA,NA,NA,NA,65239.3,53105.2,52320.8,NA,30576,NA,NA,NA,41448.5,52408.7,NA,72164.2,NA,NA,NA,NA,NA,NA,NA,44123.5,43149.8,NA,NA,NA,NA,59117.5,"-"
"CCAR2","Q8N163","3",NA,NA,114612,NA,NA,NA,NA,NA,NA,16961.2,NA,NA,NA,NA,103517,NA,NA,17899.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15007.2,NA,NA,NA,NA,NA,141509,187084,209549,NA,NA,NA,NA,NA,NA,53534.4,NA,NA,NA,NA,92364.3,NA,242475,84740.7,237100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-"
"CCDC124","Q96CT7","3",NA,266193,147692,240835,239736,324582,258912,322638,351331,355012,314423,110504,319803,327249,337146,310666,364380,220186,194358,NA,314949,412059,202123,320961,238602,338112,323738,401172,353192,319067,241582,288826,345628,241949,NA,NA,NA,NA,263503,151983,341666,248810,312304,220878,266568,313512,346440,241953,352856,341861,322555,NA,NA,NA,NA,385331,339778,314780,376535,276359,204698,372618,342310,432229,"-"
"CCDC137","Q6PK04","1",20118400,688252,5008970,4367220,2638420,908526,1573260,3137780,1588660,1369360,591046,1114130,11982000,NA,865676,3132490,2744550,NA,3165300,5247740,553984,7085960,4605080,3447290,1137570,1341290,8543590,540798,1490700,2027670,4823640,25634200,1720500,2967410,171053000,5754990,5210660,6941480,2598880,4470160,5644990,6884360,2692990,2566160,8154360,5331850,1695080,240926,3074990,202965,1709220,13069200,6075520,1255730,17858900,2242890,1634460,652323,460192,631944,3210620,1083080,3975440,1112520,"-"
"CCDC158","Q5M9N0","1",87239100,10885300,30142500,68372900,NA,20403600,10009800,30792900,NA,17550500,NA,NA,91533700,22793200,10078200,31468700,9698620,75279800,27316500,34736100,NA,22308000,18176500,18885000,6821240,NA,175201000,20359600,50800300,16734800,95922500,220747000,26524800,80865600,796439000,40337600,96227600,101745000,66908800,120765000,62920400,170530000,39579000,74454800,111464000,116935000,49329800,7544610,74443100,NA,46990900,375028000,177552000,118462000,119381000,188239000,79032600,19403800,101686000,30988700,136171000,78560900,83291500,NA,"-"
"CCDC47","Q96A33","1",NA,70817.8,57006.1,95843.6,NA,86508.3,60577.7,96341,94979.5,70219.4,72586,NA,90429.2,79768.7,80713,67751,59815,105345,93350.5,91885.1,87778.4,125045,NA,NA,NA,95045,97754.1,51063,107652,72902.6,67831,NA,108701,139045,NA,NA,NA,NA,83959.9,NA,87803.4,NA,NA,NA,78351.5,106528,NA,76448.7,NA,97904.1,98951.7,NA,NA,NA,77424,NA,NA,86029.7,69714.2,85118.5,NA,NA,NA,94231.5,"-"
"CCDC58","Q4VC31","2",1201640,1070090,821661,1947790,1558810,1791520,NA,1348700,1639590,1076710,1034900,1204910,1477510,1431120,1625200,1863620,1075550,1375210,839217,1666490,1985080,1412750,1438470,1292550,1498970,1792730,1100330,992535,1296950,1098630,1133780,NA,1138620,720189,NA,NA,NA,NA,1257620,785313,1050480,2013450,899215,839687,1381250,1193420,836159,1174520,1063530,709496,1070260,NA,NA,734289,1602810,1269240,421369,1091770,781866,1199770,847421,717541,1530610,562454,"-"
"CCS","O14618","1",NA,NA,NA,NA,NA,596175,NA,NA,NA,NA,NA,NA,NA,NA,381993,NA,427204,NA,NA,NA,NA,NA,NA,NA,386913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-"
"CCSMST1","Q4G0I0","1",NA,210412,NA,395149,NA,638192,NA,NA,NA,NA,NA,NA,183942,NA,515375,NA,NA,NA,237469,441474,420588,299950,NA,NA,NA,486160,NA,695519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-"
"CCT2","P78371","21",25568300,28796200,28733000,36236600,34052800,30746200,29408500,31383700,29336600,30598600,28650700,28014200,28553100,30610900,32239300,33328200,26161900,33309000,30534400,32808300,33412500,40313300,31174800,36483200,31978100,35160500,26153600,33928100,31974000,39559100,28395000,27372000,30935000,29114400,25488600,39105000,24067400,24488700,30532100,38241600,39631000,37248700,30643300,30533600,30654900,35349500,26330000,34642800,33417800,42205200,32291500,24202800,29232200,27097900,25703000,34389900,33082500,38211200,45295900,36806200,38875500,36101600,37819800,34512500,"-"
"CCT3","P49368","25",5104800,4995120,4776750,5327650,5488800,4839250,4976380,4896620,4762500,5163580,5156250,4902330,4707330,4873390,5974630,5352160,4468010,6399640,5017800,5646290,5884210,6840450,5845780,5552460,5553660,5547010,4455470,5424930,5723840,6642160,4417860,4746960,5770610,4880340,4012230,6353150,4548080,4732380,5457330,7047540,6269070,5448000,4934340,5446150,5027390,5513340,4160230,5737740,5367040,6860330,5341770,4128250,6924390,5995440,3670640,5656890,5984030,6461750,7615800,6518800,6448000,6053240,6528200,5615410,"-"
"CCT4","P50991","23",3548720,4185000,3982380,5026350,4914020,4800730,4622150,4131970,4292150,4245660,4650000,3557430,3689810,3971180,4546300,4734390,3688690,4844880,4578180,5173600,4991630,6616820,4756100,5652140,4815000,5049050,3846950,4206490,4725740,5379990,4200200,4206910,4383780,3902920,3289080,5911560,3789370,3925700,4681640,5310950,5571450,4197150,4443770,4474580,4283140,4981950,3332760,4405060,4339510,5214090,4214670,5827070,9753510,7538750,2768630,5109880,4624460,5339110,7033480,5184190,5524210,5054080,5696690,4946770,"-"
"CCT5","P48643","21",4260190,3762170,4285050,4740590,4384850,4454610,4959870,3930090,3939380,4241100,3870080,3854200,3599920,4014360,4483280,4554940,3996790,4999260,4430920,4924390,5153530,5765570,4599700,4879210,4654980,4799560,4073890,4624660,4647710,6113730,3751890,4398820,4231300,4137970,4725020,5590390,3914650,4755360,4246840,5187480,5291000,4673280,4407740,4312190,4022460,5036420,3620160,4645810,4686400,5780910,4773790,4475500,8616850,6094450,3663290,5182340,4577740,5623790,7016560,5441340,5396620,5039700,5863220,5301530,"-"
"CCT6A","P40227","18",24654200,28988100,25319700,35066400,36009400,28467300,27459600,27880300,26228200,27646000,27246100,25633700,28461300,27017500,32375100,33912100,26354600,32513700,30294300,33534700,35024800,42157300,31104400,34488800,30817200,31625000,28124600,27430800,30794500,40022400,22880800,27282400,27923000,28326400,25969000,34353600,26871300,15360700,26189400,37017900,36590700,31914500,27127700,31521900,30169900,35640300,26505000,31965800,36317700,39581100,31008200,25029100,41632000,37024600,25492800,30885700,33231200,36737600,45094000,36158800,43188100,36531400,38078800,31606200,"-"
"CCT7","Q99832","19",5060870,5638000,5123140,6064710,7319310,5727010,5516630,5377260,5268010,5533430,5590190,5579640,5522760,5722580,6348480,6204940,4873150,6727330,6442810,5796990,6538030,7005120,5562950,6153520,6433920,5370810,5397410,6779770,5788210,7392590,4724460,5665840,5907910,5813830,4697010,10357300,5983580,6557000,6172510,7542020,7652080,6422920,6008960,5951010,6039620,6306750,5856330,6713810,6365900,7651680,6461940,5933380,11985300,6316800,5460820,6697530,6397610,7263570,9501610,7746420,8471360,8552470,7721600,7196520,"-"
"CCT8","P50990","30",6564470,5965440,5528790,6539550,7430720,6787490,6264370,5983980,5793540,6082290,6236390,5851360,6098720,6352350,6297400,6637880,6073840,7063430,6413130,7270810,7500430,8239350,6496320,7194560,6770040,6431780,5540120,6330910,6484200,7744040,6000470,5850000,6165200,6662690,6399760,7321500,5166990,6087420,5950940,7571430,7721740,6832840,6141480,5524700,6725180,7205020,5269500,6286520,6695900,8120810,6221550,5259230,9202440,8301170,5334740,6533470,6758310,7919710,9476720,7087980,8228960,7817190,8706050,7518690,"-"
"CD151","P48509","2",143771,104016,133508,117926,168762,125967,155152,54541.1,115518,75144.9,173686,195851,100840,95841,90135.3,103670,143454,36333.3,NA,124255,103683,226075,99492.9,99076.7,110641,104472,NA,81594.1,123711,126424,122120,NA,102612,222710,NA,NA,NA,NA,155040,153142,199804,222209,163357,178929,208152,101405,184271,151565,223608,178939,154076,NA,NA,273703,102502,196668,167739,162850,NA,120113,177767,146850,112639,350394,"-"
"CD36","P16671","10",17231500,14828500,13677800,16566200,11721900,18684900,9410820,2829780,19824900,14439600,10405400,12045000,18822400,17064300,11739000,18279600,10345900,25155100,14519400,15901300,16328500,17906200,11052900,5316810,19901200,15502400,19291200,9619280,15705400,19123800,17127300,13983300,15317100,5197910,12416000,10366500,4841950,12274100,10603400,16085300,9988450,13869600,14336500,10370400,14785200,16005800,16251900,16223300,15477900,6675830,14566900,13631800,19522100,4713640,12202200,10786100,15126000,9036840,11625600,13421000,11514600,13941900,15109700,19303600,"-"
"CD38","P28907","6",692212,969739,1266220,839276,820971,841780,1311800,777080,1017570,1667240,1213160,911886,886440,822233,1257130,727250,919469,933956,1367220,846696,802541,292631,828315,541388,1490310,1129250,480111,1667270,1595050,1355410,1318410,1016380,1592700,1183110,NA,NA,569018,800498,1223430,1352450,871054,920054,803770,602642,949390,1098440,1800000,841305,1116960,843386,1039950,NA,NA,600809,1350390,601770,1716620,669557,813775,730861,911324,1006340,838458,1629010,"-"
"CD44","P16070","2",NA,NA,315658,NA,NA,NA,NA,NA,NA,NA,447215,NA,535964,NA,447236,NA,753286,549132,569569,NA,NA,693166,NA,NA,NA,NA,349807,NA,365188,523106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,799002,NA,NA,NA,592626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,233579,NA,NA,NA,1224060,NA,1454630,"-"
"CD47","Q08722","1",410507,607272,577895,547002,534180,573806,499827,562240,568775,648597,619109,571952,417259,440576,475862,606452,517971,588893,457803,725926,367770,707405,237106,548081,564550,227125,334988,653233,520970,527517,587862,494140,437891,643710,NA,693322,445505,NA,468591,610744,351067,450850,712377,319776,494743,404295,417141,593220,458443,668407,440416,903298,723433,741383,529494,626327,494407,461057,348847,573740,574758,553770,489840,310975,"-"
"CD55","P08174","1",NA,NA,NA,NA,NA,NA,NA,NA,60899,NA,NA,NA,71431.8,NA,NA,NA,NA,111277,NA,NA,NA,NA,NA,NA,NA,NA,55717.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48482.8,NA,NA,NA,48283.7,NA,NA,50184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-"
"CD59","P13987","3",26543200,25290200,18965500,21867000,22456000,19009300,23376700,25156400,23852100,27588500,29126000,22190500,23866200,22385200,23498500,26276000,25796100,24400800,20100800,19327200,18294400,20093000,19686800,20166000,24333400,24618100,16952800,31892500,27695500,17593200,22149100,28746100,24049900,29447700,26288500,13980200,25248700,24952500,25435300,22709500,25268700,24462000,27294900,22004900,29513900,22882200,24541900,18654800,25043300,19126800,23159800,19861400,31774100,26998400,26317600,23822600,25038000,22086400,24822900,24388100,21109000,25091000,21892100,26551800,"-"
"CD5L","O43866","1",694715,NA,NA,NA,821970,1104940,730232,NA,NA,NA,NA,NA,NA,NA,NA,NA,1470970,NA,NA,1735750,NA,NA,NA,NA,NA,NA,NA,1066860,NA,656580,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,860435,NA,NA,NA,NA,NA,NA,NA,NA,847743,NA,3918380,NA,NA,NA,NA,876174,NA,NA,NA,NA,NA,NA,"-"
"CD63","P08962","1",NA,374979,NA,NA,139535,NA,NA,NA,272696,394491,NA,238514,NA,323870,358860,NA,NA,NA,NA,NA,328956,496561,NA,NA,NA,326948,NA,408710,244687,341057,NA,NA,NA,NA,NA,NA,347109,NA,NA,NA,NA,NA,NA,NA,NA,633585,NA,261760,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-"
"CD81","P60033","1",228162,196997,NA,143781,270173,179373,113210,182737,279291,183136,NA,156219,202996,167607,255962,262874,251066,292045,124468,NA,171072,197840,120498,NA,200935,279616,164818,NA,216247,106551,NA,NA,152801,NA,NA,364600,780965,382240,210552,NA,153057,190162,111510,NA,145958,NA,NA,117849,NA,102531,NA,NA,332802,NA,152698,139931,NA,133152,NA,NA,NA,NA,139201,177970,"-"
"CD9","P21926","2",776706,597743,NA,597779,NA,NA,NA,NA,1037760,NA,NA,NA,NA,624343,769318,NA,NA,2283170,NA,733936,NA,800455,NA,NA,NA,NA,NA,NA,1148670,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,766489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,592652,NA,NA,1024830,"-"
"CD93","Q9NPY3","2",NA,NA,NA,NA,NA,106850,NA,NA,80097.1,79572.1,50206.8,NA,NA,NA,101482,NA,NA,115729,91435.8,NA,141349,98635,52878,NA,69572.9,138389,NA,NA,54441.3,NA,52639.5,NA,91283.8,NA,NA,NA,NA,NA,NA,67956.2,NA,NA,NA,NA,NA,NA,NA,64974.8,NA,76484.3,48461.7,NA,NA,NA,NA,NA,NA,122620,NA,42007,NA,NA,NA,NA,"-"
"CD99","P14209","2",470563,381874,243459,215346,277613,269138,350002,351829,475092,371334,183279,54412.6,300182,553581,323613,400881,506025,639364,548070,202367,371249,402254,346089,495928,584517,354588,400961,222417,420347,498706,304451,389125,360778,241532,NA,383500,179171,370680,275494,431475,451512,247108,297608,350779,344542,327148,265499,435646,359699,439480,538240,707956,723975,410102,214752,238561,384843,428422,507854,368077,357537,466902,398186,719222,"-"
"CDC25C","P30307","1",10792800,5262400,4835960,9703010,8147910,8090870,9914880,7252270,9179470,6346560,3570280,5326990,3870440,6008810,4746810,8344050,6565630,6592100,5276180,7364740,6698830,10497300,8924200,13783000,8085170,6528960,5568380,3228430,5112780,6806300,8600010,8694520,6812170,11804100,NA,10403200,8119880,6286110,6361680,6109820,8854550,6120460,8283110,NA,9846300,13284200,7430210,6299110,10290800,13600800,9117020,10727900,8020980,6960990,4650990,6711040,5637600,8198750,9764580,11714000,6838730,9690980,8316520,12558500,"-"
"CDC34","P49427","1",21958300,13840800,10681400,30706600,26152800,29754800,15511400,25417900,11325300,23135800,13871600,18399900,8997720,20605400,15538600,14669000,6553490,10358500,13840500,58725900,14663300,18747600,16037100,23699300,14042800,19010100,10031200,59580900,10865500,20878500,54496500,13709200,15838000,42352200,NA,14247900,NA,16161400,13381200,28285300,6665080,34972700,32318800,23882200,12913200,13141900,7002170,16224500,10562200,22572400,25294000,NA,21087500,11739300,32239800,24110000,21758800,16324500,14826100,29497600,30971000,10992600,41067500,2500780,"-"
"CDC37","Q16543","9",2500920,2645220,2214170,3102130,3361850,3155790,2774900,2349040,3583880,2539900,2790220,2829570,2405750,2565760,3246490,2739080,2192310,2746590,2574520,3056560,2690160,3008060,2622570,3132430,3135280,3082410,2184730,3368410,2901010,2616320,2171760,1834220,2692340,2368120,NA,2627600,2137650,2482220,2246430,2089040,2521610,2498980,2167490,1994780,2546860,1929660,1578080,2402150,2370980,2324320,2617880,NA,NA,1837170,1981300,1782650,2249450,2549040,2411570,2418870,2132460,2161140,1751590,1979440,"-"
"CDC37L1","Q7L3B6","2",NA,91425.2,NA,NA,NA,NA,NA,NA,117730,119589,NA,55521.5,NA,105246,131055,106877,NA,93837.8,NA,NA,152601,125461,67636.3,108331,NA,105792,NA,65709.7,102737,183512,NA,NA,85122.2,175452,NA,NA,NA,NA,138453,NA,209324,NA,200662,NA,90735.9,166511,NA,NA,NA,200014,NA,NA,NA,NA,NA,NA,NA,168779,173073,163681,135598,NA,163971,151579,"-"
"CDC42","P60953","7",6218350,5561240,5310790,7468300,7055240,5843960,4980770,5337130,6268790,5468450,4864770,5555280,6599160,5926250,6684480,7084420,5714780,6045030,6109480,6361270,5226590,6617010,5170860,5840900,6108560,5368440,5644550,5609210,5738700,5642250,5511760,4654830,5324840,5310330,2929890,4040370,3681370,2544360,5447600,5233090,5420470,5764570,5070200,4009350,5237670,3258480,4932330,6049460,3087730,4850290,5484420,2550630,NA,2069320,3698680,5574820,6580110,5325570,5198410,4739740,4228340,4506320,3830750,4435300,"-"
"CDC5L","Q99459","2",NA,879871,NA,NA,1353730,NA,NA,NA,NA,NA,NA,NA,NA,NA,3363830,NA,670042,NA,NA,NA,NA,NA,NA,NA,NA,1566180,1715540,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1308500,1447410,NA,NA,NA,NA,869821,NA,769585,1651450,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-"
